sourceCode,sourceName,frequency
582,"Allergy, Unspecified",0
1760,Local Anesthesia and Sedation,0
1748,Transitory tachypnea of newborn (P22.1),0
1491,Eye glasses,0
381,Gastroesophageal reflux disease,0
1411,Tinidazole,0
694,select,0
489,Severity of adverse reaction,0
1666,Bupivacaine,0
431,Vaginally,0
882,Pain in pelvis,0
1333,Ibuprofen & Paracetamol,0
988,Abdominal lymph node examination (text),0
1586,Phenylephrine,0
628,Twice daily before meals,0
596,Personal History of Allergy to Shellfish,0
1253,Amoxicillin & Cloxacillin,0
255,Months,0
1793,Practitioner,0
105,Two plus,0
1507,Griseofulvine,0
399,Malaria,0
1127,Ptosis of Eyelid,0
1427,Multi-Vitamin Children,0
941,In remission,0
1680,Eucalyptus & Diphenhydramine & Phenylephrine,0
800,Requests family planning information,0
484,Packets,0
919,Red eye,0
1134,Musculoskeletal exam findings,0
351,Name of Procedure performed,0
1602,Cefotaxime,0
443,Tube,0
741,Diabetic retinopathy,0
1269,Calcium Gluconate,0
274,Kenyan shilling,0
1521,"Rifampicine, Isoniazide, Ethambutol, pyrazinamide",0
818,Abdominal swelling,0
492,Mild,0
13,Famotidine,0
429,Routes of administration,0
495,Drug allergy,0
1151,Amenorrhea,0
1443,Tiotropium,0
1018,Emergency Visit,0
117,Mucus in Stool,0
929,Referrals ordered,0
1363,Naloxone,0
521,Bee stings,0
1020,Toothache,0
1209,Immunization sequence number,0
1042,Hysterectomy,0
1618,Nevirapine (NVP),0
459,Lozenge,0
764,Flank Pain,0
1285,Clobetasol Propionate,0
300,Clinical consultation,0
1538,Multivitamin & Lysine,0
727,Diagnostic testing and counseling for HIV,0
760,Chills,0
258,Folate / iron,0
785,Mental disorders,0
546,allergy to meropenem,0
1716,Mild persistent asthma (J45.9),0
1459,Lidocaine,0
1051,Flush toilet,0
342,Schistosomiasis,0
998,Reaction (to an allergen),0
1379,Paradichloro Benzene,0
655,Washout period,0
1073,Xanthelasma of Eyelid,0
1774,Onset Date,0
1222,Administration of booster severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) vaccine,0
1634,Pneumococcal Vaccine (PCV13),0
483,Suppository,0
792,Inspiratory Stridor,0
1301,Dicyclomine,0
317,General medicine service,0
1554,Nifedepine SR,0
986,Referral for antiretroviral therapy,0
856,Abdominal tenderness,0
1203,Pentavalent pneumovax,0
36,Mycobacterium tuberculosis detected without rifampin resistance,0
565,allergy to wheat,0
1732,Vaginal Enterocele (N81.5),0
1475,Chloroquine phosphate,0
365,Gastric ulcer,0
1160,"Review of systems, cardiopulmonary",0
1395,Pyridoxine,0
676,Therapeutic alternative substitution,0
1090,Depression,0
907,Female condom,0
1650,Flumazenil,0
396,Unnatural death,0
810,Problem added,0
832,Mastoiditis,0
1318,Furosemide,0
1571,"Nitrofurasone, Neomycin, Dexamethasone (Otofuran®)",0
613,Every 30 min,0
934,Current some day smoker,0
1238,Pyrazinamide,0
197,gram-positive cocci,0
54,"Mycobacterium tuberculosis lipoarabinomannan antigen, urine, rapid",0
583,Food Allergy,0
1761,Local Anesthesia,0
1749,Transient Cerebral Ischemia (G45.9),0
1492,Orthopedic device,0
382,Salmonella Septicaemia,0
1107,inhalant abuse,0
1412,Tizanidine,0
695,radio,0
533,No known allergies,0
1667,Propylthiouracil,0
432,Transdermal,0
883,Pain in penis,0
1334,Indomethacin,0
989,Abdominal examination (text),0
1587,Salbutamol & Iprotopium bromide,0
629,Twice daily,0
633,Traumatic injury,0
1254,Amphotericin B,0
256,Weeks,0
1794,Session Notes,0
106,One plus,0
1508,Metoprolol,0
400,Tuberculosis,0
1128,Abnormal Posture,0
1428,Multi-Vitamin Prenatal,0
948,Problem resolved with sequela,0
1681,Silver Nitrate,0
834,Estimated date of confinement,0
1348,Losartan,0
485,Tablet,0
922,Renal Retinopathy,0
1137,Urogenital exam findings,0
637,PMTCT,0
1603,Erythromycin,0
444,Teaspoon,0
742,Diplopia,0
1270,Carbamazine,0
275,Ethiopian birr,0
1522,"Rifampicine, Isoniazide",0
820,Focal weakness,0
496,Fever,0
14,Esomeprazole,0
439,Dosing unit,0
497,Flushing,0
1152,Anal pain,0
1444,Budesonide,0
1019,Pharmacy Visit,0
167,Schistosoma Mansonii Infection,0
930,Smoking status,0
1364,Neomycin & Polymyxin B & Bacitracin Zinc,0
528,Wheat,0
1024,Toxic hepatitis,0
1211,Vaccination date,0
1153,Vasectomy,0
1619,Tenofovir,0
460,Kilogram,0
765,Genital warts,0
1286,Clonazepan,0
301,On hold,0
1539,Ascorbic acid (Vit C),0
729,Tobacco use counseling,0
761,Hearing difficulties,0
500,Caffeine,0
1033,Visit Diagnoses,0
547,allergy to imipenem,0
1717,Acute rheumatic fever (I00),0
1460,Benzyl Benzoate,0
1054,Sexual abstinence,0
343,Leishmaniasis,0
999,Family history comment,0
1380,"Paradichlorobenzene, Benzocaine, Chlorbutol & Turpentine Oil",0
656,Surgery planned,0
1074,Dyspnea,0
1776,Sneezing,0
1228,Meningococcal vaccination,0
1635,Ready-to-Use Supplementary Foods,0
486,Metric drop,0
793,Intercostal recession,0
1302,Diethylcarbamazine,0
318,Emergency medical services,0
1555,Carvedilol,0
991,Referral for imaging study,0
859,Splenomegaly,0
1204,"Rotavirus vaccine, live",0
37,Mycobacterium tuberculosis detected with rifampin resistance,0
566,house dust mite allergy,0
1709,HIV treatment status,0
1733,Uterine Inversion (N85.5),0
1476,Corticosteroid,0
366,Bleeding Stomach Ulcer,0
1161,"Review of systems, HEENT",0
1396,Pyrimethamine Sulfadoxine,0
677,Generic composition substitution,0
1091,grunting baby,0
908,Male condom,0
64,Test not performed due to lack of availability of test materials,0
1651,Glycopyrrolate,0
413,Hours,0
1652,Hialorunate de Na+,0
414,Minutes,0
843,"Candidiasis, oral",0
1319,Furosemide & Spironolactone,0
1572,Latanoprost,0
614,One time,0
935,Current light tobacco smoker,0
1239,Pioglitazone,0
202,Rarely,0
55,"HIV DNA polymerase chain reaction, dried blood spot (DBS)",0
584,Allergy to Cats,0
1762,Anesthesia Type,0
21,Low,0
1493,Heatwrap,0
383,Shigellosis,0
1109,Pain in Joints,0
1413,Tramadol,0
696,number,0
632,Cause of death,0
1668,Protamine sulfate,0
433,In both eyes,0
884,Pain in Scrotum,0
1335,Insulin,0
994,Chest examination (text),0
1588,Alcohol,0
630,Weekly,0
634,Infectious Disease,0
1255,Ampicillin,0
257,Days,0
562,Bronchospasm,0
151,Triple phosphate crystals,0
1509,Metronidazole and Nystatin,0
783,Oral contraception,0
401,Carcinoma of Prostate,0
1129,Abnormal Reflex,0
1429,Tenormin,0
949,Active problem,0
1682,Boric acid & Antipyrine & Ephedrine,0
851,Pregnancy status,0
1349,Magnesium,0
488,Fatal,0
923,Respiratory crackles,0
1138,Abdominal exam findings,0
638,Pre-exposure prophylaxis (PrEP),0
1604,Gentamicin,0
445,Tablespoon,0
743,Discharge from Penis,0
1271,Cefadroxil,0
277,Equitel Pay,0
1524,Paracetamol & Chlorzoxasone,0
823,Menstruating,0
541,Myalgia,0
15,Ceftriaxone,0
487,Allergens Options,0
498,Gastrointestinal Food Allergy,0
1154,Post-nasal discharge,0
1445,Albuterol,0
1021,Private health care clinic/facility,0
204,Uric Acid Crystalluria,0
937,Time frame,0
1365,Nifedipine,0
529,Soy,0
1029,Urinary symptoms,0
1224,Vaccine lot expiration date,0
1169,Tubal ligation procedure,0
1620,Zidovudine (AZT),0
461,Inch,0
767,Itchy Eyes,0
1287,Clotrimazole,0
302,Inpatient department,0
1540,Phytomenadione (Vit K),0
786,Dental care referral,0
766,Weight loss,0
502,Aspirin,0
1045,Review of systems,0
548,allergy to egg protein,0
1718,Idiopathic cardiomyopathy (I42.8),0
1461,Glyburide,0
1057,Currently,0
344,Leptospirosis,0
1027,Substance use,0
1381,Pheniramine,0
658,Duplicate therapy,0
1075,Alcohol abuse,0
1777,Sore throat or pain with swallowing,0
5,Tetracycline,0
1636,Aminophyllin,0
394,Human immunodeficiency virus,0
794,Irregular heartbeat,0
1303,Digoxin,0
319,Intensive care service,0
1556,Metoprolol tartrate,0
1199,Current immunization orders,0
860,Hepatomegaly,0
1210,Pneumococcal vaccine,0
60,Positive for both Plasmodium falciparum and Plasmodium vivax,0
568,erythromycin allergy,0
1710,Program status,0
1734,Urinary calculus (N20.9),0
1477,Emollient Lotion,0
367,Hypertension,0
1162,"Review of systems, general",0
1397,Rabeprazole Sodium,0
678,Brand composition substitution,0
1092,Diabetic ketoacidosis,0
269,Method of payment,0
276,Billable service,0
1653,Hialorunate de Na+ et oxymetazoline,0
416,Milligram per meter squared,0
845,Frequency of Urination and Polyuria,0
1320,Fusidic Acid,0
1573,Trobramycin,0
615,"Four times daily, before meals and at bedtime",0
1240,Glipizide,0
206,Ab negative,0
58,Rapid test for malaria,0
585,allergy to almonds,0
1763,Estimated Blood Loss,0
73,High,0
1494,Alpha Methyl Dopa,0
384,Cholera due to Vibrio cholerae,0
1110,Stiffness of joint,0
1414,Tranexamic Acid,0
697,text area field,0
635,Probable cause of death (text),0
1669,Sildenafil,0
434,In right eye,0
885,Pain in Testicle,0
1336,Ipratropium,0
997,Patient not using family planning,0
1589,Chlorhexidine,0
631,Monthly,0
636,Human immunodeficiency virus (HIV) disease,0
1256,Ampicillin & Cloxacillin,0
259,Hospital waiver,0
812,"Pain, lower extremities",0
152,Amorphous urate crystals in urine,0
846,Injectable contraceptives,0
402,HIV resulting in other conditions,0
1130,Decreased fetal movements,0
1430,Celecoxib,0
952,Moderate to severe,0
1683,Belladona & Phenobarbital,0
854,Chief complaint,0
1350,Mannitol,0
490,Life threatening severity,0
924,Respiratory Distress,0
1139,Cardiac exam findings,0
707,Discharge from hospital,0
1605,Quinine sulfate,0
446,Syringe,0
744,Dizziness,0
1272,Cefazolin,0
278,Tigo Pesa,0
1525,Sevoflurane,0
824,History of jaundice,0
657,Suspected intolerance to drug,0
16,Bismuth subsalicylate,0
505,Reference application allergic reactions,0
499,GI upset,0
1163,Acute Coryza,0
1446,Levabuterol,0
1022,Obstetrics and gynecology department,0
205,"Urinary Cast, Hyaline",0
942,Musculoskeletal examination (text),0
1366,Nimesulide,0
530,Shellfish,0
1031,Tropical Ulcer,0
1184,Clean and dressing,0
1621,Zidovudine & Lamivudine (AZT/3TC),0
462,Gum,0
769,Hearing Disorder,0
1288,Clotrimazole & Lignocaine,0
303,Cancelled,0
1541,Proteines,0
787,Ophthalmology referral,0
768,Physical exam,0
597,Morphine,0
1200,Immunizations,0
549,allergy to chloroprocaine,0
1719,Heart Failure (I50.9),0
1462,Cefaclor,0
1060,Presumed diagnosis,0
345,Ascariasis,0
1028,Past medical history added (text),0
1382,Pheniramine Maleate,0
660,Drug would interfere with upcoming laboratory testing,0
1076,Memory Loss,0
1778,Loss of taste,0
6,Oxycodone,0
1637,Biperidene lactate,0
795,IUD Contraception,0
1304,Disodium Hydrogen Citrate,0
320,Rehabilitation service,0
1557,Propranalol,0
599,Non-coded frequency,0
862,Oedema,0
1217,Hemophilus influenza B vaccine,0
61,Positive for Plasmodium vivax,0
569,heparin allergy,0
1711,On Antiretrovirals Treatment,0
1735,Polyarthropathy or Polyarthritis (M15.9),0
1478,Erythromycin estolate,0
368,Acute Gastric Ulcer without Hemorrhage or Perforation,0
1223,"Immunization, non-coded",0
1398,Ranitidine,0
679,Equivalent composition substitution,0
1093,Disorder of Eyelid,0
284,Mobile money type,0
1654,Hydrocortisone hemorrhoidal,0
417,Intraosseous,0
861,"Dementia, senile",0
1321,Gabapentin,0
1574,Ketorolac,0
616,"Four times daily, after meals and at bedtime",0
1241,Aceclofenac,0
207,Ab positive,0
586,Personal History of Allergy to Anesthetic Agent,0
1764,Complications,0
84,Calcium oxalate crystals,0
1495,Antipyrine,0
385,Peptic ulcer,0
1112,Lethargy,0
1415,Triamcinolone,0
698,text field,0
652,Patient currently inpatient at facility,0
1670,Streptokinase,0
435,In left eye,0
886,Throat pain,0
1337,Ipratropium Bromide,0
1004,Currently not sexually active,0
1590,Eucerin,0
522,NSAIDs,0
650,Drug Interaction (Properly Prescribed and Administered),0
1257,Antacid,0
261,Mental health services,0
819,Refusal to feed,0
153,Ammonium urate crystals in urine,0
1006,Emergency contraceptive pills,0
403,Death of unknown cause,0
1131,Foreign body in eye,0
1431,Calcium Carbonate,0
953,Mild to moderate,0
1684,Dequalinium & Lidocaine,0
863,Method of family planning,0
1351,Medroxyprogesterone,0
509,Strawberries,0
926,Retention of urine,0
1141,Chest exam findings,0
708,Admit to hospital,0
1606,Serum antitetatique,0
447,Application,0
745,Dizziness and Giddiness,0
1273,Cefepime,0
279,MTN MoMo,0
1526,Succinylcholine,0
826,Shortness of breath with exertion,0
659,Mother pregnant or currently breastfeeding,0
17,Azithromycin,0
506,Reference application common environmental allergens,0
501,Headache,0
1164,Apnea,0
1447,Polyethylene Glycol,0
1023,Antenatal Visit,0
210,Cestode Infection,0
943,Urogenital examination (text),0
1367,Nitrofurantoin,0
531,Peanuts,0
1043,khat abuse,0
1185,Appendectomy,0
1622,Zidovudine & Lamivudine & Nevirapine (AZT/3TC/NVP),0
463,Gallon,0
770,Wasting syndrome,0
1289,Clotrimazole Otic,0
304,Urology service,0
1542,Zinc,0
788,Postnatal care referral,0
774,History of present illness,0
598,Codeine,0
1715,Vital signs,0
550,Arrhythmia,0
1720,Rheumatic Fever Without Heart Involvement (I00),0
1463,Famciclovir,0
1061,Confirmed diagnosis,0
346,Cervical lymphadenopathy,0
1032,Diagnosis date,0
1383,Phenobarbitone,0
662,Prescription/request requires clarification,0
1077,Anxiety,0
1779,Loss of smell,0
7,Ondansetron,0
1638,Calcium & vit,0
796,Jaundice,0
1305,Domperidone,0
321,Surgical service,0
1558,Phenobarbital,0
600,"Every Monday, Wednesday and Friday",0
868,Bulging fontenelle,0
1219,Diptheria tetanus booster,0
62,Positive for Plasmodium falciparum,0
570,sulfite allergy,0
1712,Lost to follow-up,0
1736,Umbilical Cord Complication During Labor and Delivery (O69.9),0
1479,Ferrous sulfate,0
369,Acute Peptic Ulcer with Haemorrhage but without Obstruction,0
1225,Procedure received by patient,0
1399,Risperidone,0
680,Equivalent substitution,0
1094,Muscle Stiffiness,0
1096,Alterations of Sensations,0
285,Account status,0
1655,Rabies immunoglobulins,0
418,Per NG tube,0
864,Seizure,0
1322,Gamma Benzene Hexachloride & Cetrimide,0
936,Current heavy tobacco smoker,0
1575,Sodium hyaluronate,0
617,Four times daily,0
1242,Acyclovir,0
208,Non-reactive,0
587,naproxen allergy,0
1765,Specimens,0
85,Amorphous phosphate crystals,0
1496,Apetamine,0
119,Comprehensive metabolic panel,0
386,Gestational diabetes,0
1113,rectal discharge,0
1416,Trihexyphenidyl,0
699,Free text comment,0
653,Medications unavailable,0
1671,Tamoxifen,0
436,In both ears,0
887,Pain in Urethra,0
1338,Isosorbide Mononitrate,0
1005,Patient wishes to get pregnant,0
1591,Phenylephrine & pramoxine,0
523,Heparins,0
719,"HIV staging - varicella, disseminated",0
1258,Antioxidant,0
262,Social support services,0
108,Urine pregnancy test,0
1510,Neomycin,0
821,Paresthesia,0
154,Color of stool,0
1523,Albendazole and Vitamin A Set,0
404,Primary Genital Syphilis,0
1132,Scrotal Mass,0
1432,Glipizide Er,0
968,Patient-reported,0
1685,Diclofenac & Vitamin B complex,0
870,Sign/symptom duration,0
1352,Medroxyprogesterone Acetate,0
510,Milk protein,0
959,Shoulder Pain,0
1142,HEENT exam findings,0
709,Internal facility transfer/referral,0
1607,Vancomycin,0
448,Spray,0
746,Dribbling of Urine,0
1274,Cefixime,0
280,Orange Money,0
1527,Rocuronium,0
827,Shortness of breath at rest,0
661,Drug level too high to continue treatment,0
18,Amlodipine,0
507,Reference application common food allergens,0
504,Itching,0
1165,Back pain,0
1448,Docusate Sodium,0
1025,Final diagnosis,0
218,Ancylostomiasis due to Ancylostoma Duodenale,0
947,Outcome of adverse event,0
1368,Normal Saline (NS),0
532,Eggs,0
1053,Tinnitus,0
1187,Colonoscopy,0
1623,BCG vaccine,0
464,Fluid ounce,0
771,Heart failure,0
1290,Clove Oil,0
305,"Ear, nose and throat service",0
1543,Heparin,0
790,Prenatal care referral,0
778,Joint pain,0
715,Sulfadoxine and pyrimethamine,0
1783,Covid 19 Signs and Symptom Set,0
551,History of Allergy to Milk Products,0
1721,Birth Asphyxia (P21.9),0
1464,Minocycline,0
1068,Hospital,0
347,Malignant neoplasm,0
1038,Detailed location information,0
1384,Phenytoin,0
663,Try another treatment first,0
1078,Barbiturate abuse,0
1186,Ultrasound of chest,0
1780,"Diarrea, Vomiting or Abdominal pain",0
8,Metronidazole,0
1639,Activated charcoal,0
797,Joint Crepitus,0
1306,Dopamine,0
323,Vaccination service,0
1559,Protamine,0
601,Every seventy-two hours,0
899,Date of last normal menstrual period,0
1220,"Diphtheria toxoid / hepatitis B vaccines / pertussis, acellular / tetanus toxoid / haemophilus capsular oligosaccharide",0
63,Procedure not performed,0
23,"HIV viral load, qualitative",0
571,allergy to dairy product,0
1713,Never started,0
1737,Twin Pregnancy (O30.0),0
1480,Fluticasone spray,0
370,Acute Peptic Ulcer with Perforation,0
1707,Visit Punctuality,0
1400,Ringers Lactate (RL),0
681,Supplies not available,0
1401,Salbutamol,0
682,Continue previous treatment,0
1097,Dysphagia,0
292,Invoice total,0
1656,Formula Milk,0
419,Seconds,0
865,Nasal haemorrhage,0
1323,Gentamycin,0
939,Nervous system examination (text),0
1576,Timolol,0
618,"Thrice daily, with meals",0
1243,Adrenaline,0
209,Reactive,0
588,Allergic to Other Foods,0
1766,Drains,0
89,Four plus,0
1497,Apressoline,0
387,Diabetes insipidus,0
1114,Babinski Sign,0
1417,Trypsin Chymotrypsin,0
847,Diaphragm,0
700,Admission to hospital decision,0
1672,Tobramycin,0
437,In right ear,0
888,Pain of breast,0
1339,Ivermectin,0
1007,Date of HIV diagnosis,0
1592,Mineral oil,0
524,Cephalosporins,0
728,Abnormal Dullness to Percussion of Chest,0
1259,Atenolol,0
263,Exempted from Insurance,0
109,Widal test,0
1511,Benzocaine-Chloroxylenol,0
822,Menopausal,0
155,Appearance of stool,0
51,HIV test kits,0
405,Natural Death,0
1133,Abscess of skin and subcutaneous tissue,0
1433,Bacitracin,0
979,Private home-based care,0
1686,Diclofenac & Methocarbamol & Paracetamol,0
871,Sexually transmitted infection (STI) in past 6 months,0
1353,Methotrexate,0
511,Fish,0
960,Sinusitis,0
1143,Skin exam findings,0
835,ARV for mother,0
1608,Rifampicin & Isoniazide & Pyrazinamide,0
449,Scoopful,0
747,Dysfunctional Uterine Bleeding,0
1275,Ceftazidime,0
281,Airtel Money,0
1528,Vecuronium,0
828,Productive cough,0
688,Completed,0
19,Acetaminophen,0
508,Reference application common drug allergens,0
535,Musculoskeletal pain,0
1166,Bleeding,0
1449,Senna,0
1026,Provisional diagnosis,0
332,Cutaneous leishmaniasis,0
950,Adverse event reported,0
1369,Ofloxacin,0
534,No known drug allergies,0
1055,Urethrorrhoea,0
1193,Esophagogastroduodenoscopy,0
1624,Moderna Covid 19 Vaccine,0
465,Enema,0
772,Heartburn,0
1291,Cloxacillin,0
306,Neurosurgery service,0
150,Trichomonas vaginalis in microscopy of saline mount,0
1544,Clopidogrel,0
791,Voluntary counseling and testing for HIV,0
805,Loss of Hair,0
716,Sulfadoxine,0
1790,Covid 19 Test Set,0
552,4-quinolones allergy,0
1722,Type 1 diabetes (E10),0
1465,Clindamycin,0
1071,Health clinic/post,0
348,Neoplasm/cancer,0
1046,"Review of systems, obstetrical/pregnancy",0
1385,Pilex,0
664,Unable to provide necessary care,0
1079,Bladder Pain,0
1188,"CT scan, chest",0
1781,Practicing social distancing,0
9,Metformin,0
1640,Cisatracurium,0
798,Kernicterus not due to Isoimmunisation,0
1307,Doxycycline,0
324,Outpatient department,0
1560,Insulin regular,0
602,Every thirty-six hours,0
900,Condition clinical status,0
1221,"RTS,S/AS01 vaccine",0
107,Other,0
27,"Cryptococcal antigen, serum, coded",0
572,Personal History of Analgesic Agent Allergy,0
1750,Pre-Operative Diagnosis,0
1738,Dilated cardiomyopathy (I42.0),0
1481,Hydrocortisone & Acetic Acid,0
371,Cholelithiasis,0
1714,General patient note,0
1402,Salbutamol & Bromhexine,0
684,Refused,0
1098,Voiding Pain,0
293,Invoice total net taxes,0
1657,Lidocaine w & epinephrine dental,0
420,Number of occurrences,0
867,Nausea and vomiting,0
1324,Gentian Violet,0
940,Numbness and tingling of skin,0
225,"Neisseria gonorrhoeae polymerase chain reaction, qualitative",0
1577,Sodium hyaluronate & Oxymetazoline,0
619,"Thrice daily, before meals",0
1244,Albendazole,0
211,Few,0
589,Allergy to Eggs,0
1767,Condition upon discharge from OR,0
91,Positive,0
1498,Bebe Sirop,0
388,Drug-Induced Diabetes Mellitus,0
1115,Thickening of Tendon Sheath,0
1418,Tuberculin Purified Protein Derivative (PPD),0
848,Natural family planning,0
704,Internal transfer location (text/code),0
438,In left ear,0
889,Painful Mouth,0
1340,Ketamine,0
1009,Chief complaint (text),0
1593,Neomycin & Bacitracin,0
525,ARBs (angiotensin II receptor blockers),0
730,Chronic Kidney Disease,0
1260,Atorvastatin,0
264,Pharmacy,0
1512,Simethicone,0
825,Nausea,0
160,Urine appears turbid,0
65,Tests Orderability,0
406,Natural Death with Unknown Cause,0
1135,Stiffness of neck,0
1434,Nystatin,0
1008,Sexually transmitted infection program/clinic,0
1687,Diosmine & Hesperidine,0
878,Objective narrative,0
1354,Methylergometrine,0
512,Dairy food,0
961,Snoring,0
1179,Body mass index,0
837,Psychosocial counseling,0
1609,Rifampicin & Izsoniazide & Ethambutol,0
450,Ring pessary,0
748,Dyssomnia,0
1276,Cetirizine,0
282,T-Kash,0
1529,Neostigmine,0
836,Learning problems,0
701,Patient on waiting list,0
20,Acetaminophen / oxycodone,0
640,Status,0
536,Hepatotoxicity,0
1167,Vaginal bleeding,0
1450,Loratadine,0
1030,Relapse,0
333,Mpox,0
955,Physical exam outcome,0
1370,Omeprazole,0
639,Clinical Consult,0
1062,Vaginal discharge,0
1195,Laparoscopic cholecystectomy,0
1625,Pfizer-BioNTech Covid 19 Vaccine,0
466,Drop,0
773,Heberden's Node,0
1292,Codeine Phosphate,0
307,Obstetrics and gynecology service,0
1545,Nitroglycerin,0
839,Tuberculosis Treatment or DOT Program,0
813,Renal disease,0
717,Heparinoids,0
1,True,0
553,Dystonia,0
1723,Malignant tumor of lymphatic and hematopoietic tissue (C96.7),0
1466,Tobramycin & Dexamethasone,0
1106,Not applicable,0
349,Constipation,0
1047,reuse,0
1386,Polyvalent Anti Snake Serum,0
665,Religious/ethical objection,0
1080,Painful Breathing,0
1190,"X-ray, chest",0
914,Eye,0
1641,Clomifen citrate,0
799,Lactational amenorrhea,0
1308,Enalapril,0
325,Pediatric inpatient service,0
1561,Insulin NPH,0
603,Every forty-eight hours,0
901,Patient condition resolved,0
1226,Measles-Rubella vaccine,0
115,Trace,0
573,5-hydroxytryptamine-3 receptor antagonist allergy,0
1751,Post-Operative Diagnosis,0
1739,Tuberculosis of skin and subcutaneous tissue (A18.4),0
1482,Iptratropium bromide & albuterol,0
372,Enteropathogenic Escherichia Coli Gastrointestinal Tract Infection,0
373,Typhoid fever,0
1403,Saline,0
685,Discontinued,0
1099,Dysuria,0
294,Invoice price,0
1658,Meperidine,0
422,Kit,0
869,Neck Pain,0
1325,Glimepiride,0
944,Cardiac examination (text),0
1578,Sodium chloride,0
620,"Thrice daily, after meals",0
1245,Allopurinol,0
213,Indeterminate,0
590,Laboratory Animal Dander Allergy,0
1768,Surgeon,0
92,Three plus,0
1499,Bromhexine,0
389,Essential hypertension,0
1116,Muscle Weakness,0
1419,Valproic Acid,0
850,Intrauterine device,0
705,Admitted to location (text/code),0
471,International units,0
890,Painful Urging to Urinate,0
1341,Ketoconazole,0
1034,Diagnosis order,0
1594,Permanganate potassium,0
526,ACE inhibitors,0
731,No fetal movements,0
1261,Atropine,0
265,Health insurance,0
111,Urinalysis order,0
1513,Simvastatin,0
829,Swallowing difficulties,0
161,Cloudy urine,0
246,Chemistry,0
407,Neoplasm of Lung,0
1136,Substance abuse,0
1435,Valacyclovir,0
1010,Return visit type,0
1688,Gemfibrozil,0
879,Subjective narrative,0
1355,Metoclopramide,0
513,Chocolate,0
976,"Diagnosis or problem, non-coded",0
1180,Cavitary lesion,0
841,Nutritional support,0
1610,Abacavir (ABC),0
451,Puff,0
749,Ear Problem,0
1277,Dipirone,0
283,M-Pesa,0
1530,Fentanyl,0
844,Joint swelling,0
702,Admission denied,0
74,Magnesium phosphate,0
644,Service,0
537,Allergy,0
1168,Bleeding gums,0
1451,Diphenhydramine,0
1035,Tertiary,0
334,Varicella,0
958,Recently traveled outside of home town,0
1371,Oral Hormonal Contraceptive Pills,0
641,Finished Service,0
1063,Vaginal Pain,0
1201,Bacillus Calmette–Guérin vaccine,0
1626,Johnson & Johnson Covid 19 Vaccine,0
467,Container,0
776,HIV positive,0
1293,Co-trimoxazole,0
308,Orthopedic service,0
1546,Amiodarone,0
840,Inpatient care or hospitalization,0
814,Hepatic disease,0
718,Isoniazid / pyrazinamide / rifampin,0
2,False,0
554,Allergy to Latex,0
1724,"Urticaria, Solar (L56.3)",0
1467,Methylprednisolone,0
1108,Disclosure counseling,0
350,Kaposi sarcoma oral,0
1052,HIV Status,0
1387,Potassium Chloride,0
666,Incomplete data,0
1081,Cataract,0
1194,Mammogram,0
995,Inguinal lymph node(s),0
1642,Cortisone & antibiotic & antimycotic,0
801,Leukoplakia,0
1309,Ethamsylate,0
326,Adult inpatient service,0
1562,Insulin (Fast & Long Acting),0
604,Every twenty-four hours,0
902,History of recent travel in past 14 days,0
1227,"Diphtheria Toxoid / Haemophilus influenzae b, capsular polysaccharide  / Hepatitis B surface antigen / Pertussis (whole cell) / Tetanus toxoid conjugate vaccine",0
123,Poor sample quality,0
574,Allergy to Tomatoes,0
1752,Procedure,0
1740,Tuberculous Meningitis (A17.0),0
1483,Lansoprazole,0
